,Date,County,State,Population,Cases %,Cases (N - 7),Deaths (N - 7),Cases (N - 14),Deaths (N - 14),Cases (N - 21),Deaths (N - 21),Cases (N - 28),Deaths (N - 28),"Class (Safe-0, Unsafe-1)"
0,4/22/2020,Autauga,Alabama,55869,0.044747534,25,1,12,1,10,0,4,0,0
1,4/23/2020,Autauga,Alabama,55869,0.044747534,25,2,17,1,10,0,6,0,0
2,4/24/2020,Autauga,Alabama,55869,0.046537436,26,2,17,1,12,0,6,0,0
3,4/25/2020,Autauga,Alabama,55869,0.044747534,25,2,19,1,12,0,6,0,0
4,4/26/2020,Autauga,Alabama,55869,0.048327337,27,2,19,1,12,0,6,0,0
5,4/27/2020,Autauga,Alabama,55869,0.050117239,28,1,19,1,12,1,7,0,0
6,4/28/2020,Autauga,Alabama,55869,0.053697041,30,1,23,1,12,1,7,0,0
7,4/29/2020,Autauga,Alabama,55869,0.057276844,32,2,25,1,12,1,10,0,0
8,4/30/2020,Autauga,Alabama,55869,0.059066745,33,2,25,2,17,1,10,0,0
9,5/1/2020,Autauga,Alabama,55869,0.06443645,36,2,26,2,17,1,12,0,0
10,5/2/2020,Autauga,Alabama,55869,0.066226351,37,2,25,2,19,1,12,0,0
11,5/3/2020,Autauga,Alabama,55869,0.066226351,37,2,27,2,19,1,12,0,0
12,5/4/2020,Autauga,Alabama,55869,0.069806154,39,3,28,1,19,1,12,1,0
13,5/5/2020,Autauga,Alabama,55869,0.071596055,40,4,30,1,23,1,12,1,0
14,5/6/2020,Autauga,Alabama,55869,0.076965759,43,4,32,2,25,1,12,1,0
15,5/7/2020,Autauga,Alabama,55869,0.075175858,42,4,33,2,25,2,17,1,0
16,5/8/2020,Autauga,Alabama,55869,0.075175858,42,3,36,2,26,2,17,1,0
17,5/9/2020,Autauga,Alabama,55869,0.080545562,45,3,37,2,25,2,19,1,0
18,5/10/2020,Autauga,Alabama,55869,0.085915266,48,3,37,2,27,2,19,1,0
19,5/11/2020,Autauga,Alabama,55869,0.094864773,53,3,39,3,28,1,19,1,0
20,5/12/2020,Autauga,Alabama,55869,0.094864773,53,3,40,4,30,1,23,1,0
21,5/13/2020,Autauga,Alabama,55869,0.10381428,58,3,43,4,32,2,25,1,0
22,5/14/2020,Autauga,Alabama,55869,0.109183984,61,3,42,4,33,2,25,2,0
23,5/15/2020,Autauga,Alabama,55869,0.119923392,67,4,42,3,36,2,26,2,0
24,5/16/2020,Autauga,Alabama,55869,0.121713294,68,4,45,3,37,2,25,2,0
25,5/17/2020,Autauga,Alabama,55869,0.132452702,74,4,48,3,37,2,27,2,0
26,5/18/2020,Autauga,Alabama,55869,0.150351716,84,4,53,3,39,3,28,1,0
27,5/19/2020,Autauga,Alabama,55869,0.162881025,91,4,53,3,40,4,30,1,0
28,5/20/2020,Autauga,Alabama,55869,0.166460828,93,4,58,3,43,4,32,2,0
29,5/21/2020,Autauga,Alabama,55869,0.186149743,104,4,61,3,42,4,33,2,0
30,5/22/2020,Autauga,Alabama,55869,0.184359842,103,4,67,4,42,3,36,2,0
31,5/23/2020,Autauga,Alabama,55869,0.196889151,110,4,68,4,45,3,37,2,0
32,5/24/2020,Autauga,Alabama,55869,0.196889151,110,4,74,4,48,3,37,2,0
33,5/25/2020,Autauga,Alabama,55869,0.214788165,120,4,84,4,53,3,39,3,0
34,5/26/2020,Autauga,Alabama,55869,0.227317475,127,4,91,4,53,3,40,4,0
35,5/27/2020,Autauga,Alabama,55869,0.243426587,136,3,93,4,58,3,43,4,0
36,5/28/2020,Autauga,Alabama,55869,0.263115502,147,3,104,4,61,3,42,4,0
37,5/29/2020,Autauga,Alabama,55869,0.266695305,149,3,103,4,67,4,42,3,0
38,5/30/2020,Autauga,Alabama,55869,0.277434713,155,3,110,4,68,4,45,3,0
39,5/31/2020,Autauga,Alabama,55869,0.284594319,159,3,110,4,74,4,48,3,0
40,6/1/2020,Autauga,Alabama,55869,0.300703431,168,3,120,4,84,4,53,3,0
41,6/2/2020,Autauga,Alabama,55869,0.33829136,189,3,127,4,91,4,53,3,0
